Title;Subtitle;latitude;longitude;åbningstider;priser;brand;bemærkninger
@lkymia;;;;;10   ;Ceres;
Antropologisk;;;;;10   ;Ceres;
Basement;;;;;10   ;Ceres;
Biologisk;;;;;10   ;Ceres;
Cognitive Semiotics;;;;;10   ;Ceres;
Den Sociale;;;;;10   ;Ceres;
Die Rote Zone;;;;;10   ;Ceres;
Eforen;;56.168.864;10.199.304;18-24;10   ;Ceres;
ESPERANTO;;;;;10   ;Ceres;
Filosofi og Idéhistorisk;;;;;10   ;Ceres;
Forhistorisk Arkæologi;;;;;10   ;Ceres;
Fredagsbar.dk;Vi har øl;56.172.161;10.188.092;14-19;10   ;Carlsberg;Byens Bedste Fredagsbar
Fredagscaféen for Datalogi og IT;;56.172.161;10.188.092;15-18;10   ;Ceres;Billige Specialøl
Fysisk;;;;;10   ;Ceres;
Historie - FRED;;;;;10   ;Ceres;
HUMBUG;;;;;10   ;Ceres;
Idræt;;;;;10   ;Ceres;
Ingeniørhøjskolen;;;;;10   ;Ceres;
Kalkulerbar;;;;;10   ;Ceres;
Kasernebaren;;;;;10   ;Ceres;
LeboNbar;;;;;10   ;Ceres;
Læreruddannelsen i Århus;;;;;10   ;Ceres;
Maskinmesterskolen;;;;;10   ;Ceres;
Medicinsk;;;;;10   ;Ceres;
Panik;;56.172.161;10.188.092;19-02;12   ;Carlsberg;
Peter Sabroe;;;;;10   ;Ceres;
Politologisk Forening;;;;;10   ;Ceres;
Psykologisk fredagsbar (Kein Cortex);;56.172.624;10.205.768;14-17;10   ;Ceres;
Samfundsfaglig Fredagsbar;;56.170.722;10.204.207;14-17;10   ;Ceres;
Studenterhus Aarhus;;;;;10   ;Ceres;
Sygeplejeskolen Søstrene;;;;;10   ;Ceres;
Tandlægeskolen;;;;;10   ;Ceres;
Theos Bar;;56.171.891;10.203.177;14-19;10   ;Carlsberg;
TÅGEKAMMERET;;;;;10   ;Ceres;
